"Gemeinde";"Flaeche";"Bevoelkerung"
"Konstanz, Universitätsstadt";54,12;85859
"Reichenau";12,71;5401
"Singen (Hohentwiel), Stadt";61,77;49441
"Steißlingen";24,52;5034
"Volkertshausen";5,15;3225
"Rielasingen-Worblingen";18,59;12147
"Eigeltingen";59,27;3926
"Mühlingen";32,67;2716
"Stockach, Stadt";69,73;17490
"Hohenfels";30,49;2108
"Bodman-Ludwigshafen";28,08;4810
"Orsingen-Nenzingen";22,23;3590
"Efringen-Kirchen";43,75;8773
"Steinen";46,85;10339
"Todtnau, Stadt";69,75;4952
"Weil am Rhein, Stadt";19,46;30769
"Grenzach-Wyhlen";17,26;15037
"Kleines Wiesental";77,82;2818
"Kandern, Stadt";62,26;8537
"Malsburg-Marzell";24,9;1486
"Inzlingen";9,48;2529
"Lörrach, Stadt";39,37;49876
"Rheinfelden (Baden), Stadt";62,84;33581
"Schwörstadt";20,03;2594
"Bad Bellingen";16,93;5143
"Schliengen";37,46;6009
"Aitern";9,21;518
"Böllen";5,67;104
"Fröhnd";16,19;494
"Schönau im Schwarzwald, Stadt";14,72;2417
"Schönenberg";7,43;347
"Tunau";4,05;177
"Utzenfeld";7,4;608
"Wembach";1,8;345
"Wieden";12,25;521
"Hasel";11,65;1189
"Hausen im Wiesental";5,14;2359
"Maulburg";9,75;4264
"Schopfheim, Stadt";67,93;20163
"Binzen";5,81;2976
"Eimeldingen";3,55;2531
"Fischingen";1,89;788
"Rümmingen";4,46;1908
"Schallbach";3,95;829
"Wittlingen";4,5;947
"Zell im Wiesental, Stadt";36,12;6279
"Häg-Ehrsberg";25,04;820
"Albbruck";39,7;7512
"Görwihl";50,41;4233
"Klettgau";45,87;7611
"Laufenburg (Baden), Stadt";23,57;9136
"Stühlingen, Stadt";93,2;5527
"Wehr, Stadt";35,64;13113
"Bonndorf im Schwarzwald, Stadt";75,91;7022
"Wutach";30,51;1182
"Dettighofen";14,38;1195
"Jestetten";20,62;5313
"Lottstetten";13,39;2386
"Hohentengen am Hochrhein";27,59;3995
"Küssaberg";26,17;5500
"Grafenhausen";48,54;2299
"Ühlingen-Birkendorf";77,08;5459
"Herrischried";37,51;2748
"Murg";20,91;6993
"Rickenbach";34,65;3960
"Bad Säckingen, Stadt";25,35;17660
"Bernau im Schwarzwald";38;1953
"Dachsberg (Südschwarzwald)";35,6;1441
"Häusern";8,88;1324
"Höchenschwand";29,56;2773
"Ibach";21,38;347
"St. Blasien, Stadt";54,41;4169
"Todtmoos";28,09;2022
"Dogern";7,45;2305
"Lauchringen";12,77;8034
"Weilheim";35,65;3104
"Waldshut-Tiengen, Stadt";77,96;24605
"Wutöschingen";26,47;6766
"Eggingen";13,95;1773
"Dettingen an der Erms";15,79;9977
"Eningen unter Achalm";23,13;11456
"Pfullingen, Stadt";30,14;19005
"Reutlingen, Stadt";87,04;117547
"Trochtelfingen, Stadt";79,2;6277
"Wannweil";5,34;5405
"Sonnenbühl";61,25;7106
"Lichtenstein";34,24;9312
"St. Johann";58,92;5271
"Engstingen";31,52;5245
"Hohenstein";61,71;3779
"Grafenberg";3,5;2776
"Metzingen, Stadt";34,55;22528
"Riederich";4,64;4331
"Gomadingen";45,83;2300
"Mehrstetten";17,1;1483
"Münsingen, Stadt";116,93;14755
"Pliezhausen";17,31;9893
"Walddorfhäslach";14,44;5505
"Grabenstetten";14,53;1727
"Hülben";6,41;3078
"Bad Urach, Stadt";55,42;12812
"Römerstein";46,04;4078
"Hayingen, Stadt";63,37;2215
"Pfronstetten";54,09;1512
"Zwiefalten";45,39;2323
"Dettenhausen";11,02;5573
"Kirchentellinsfurt";10,99;5689
"Kusterdingen";24,24;8863
"Tübingen, Universitätsstadt";108,07;92811
"Ammerbuch";48,04;11387
"Dußlingen";13,05;6355
"Gomaringen";17,32;9252
"Nehren";8,58;4550
"Bodelshausen";13,83;5851
"Mössingen, Stadt";50,03;20900
"Ofterdingen";15,15;5508
"Hirrlingen";12,83;3193
"Rottenburg am Neckar, Stadt";142,27;44653
"Neustetten";15,87;3853
"Starzach";27,84;4365
"Burladingen, Stadt";123,31;12273
"Haigerloch, Stadt";76,44;10968
"Rosenfeld, Stadt";51,11;6547
"Bitz";8,82;3785
"Albstadt, Stadt";134,4;46422
"Balingen, Stadt";90,32;34945
"Geislingen, Stadt";31,96;5957
"Bisingen";32,83;9844
"Grosselfingen";16,15;2178
"Hechingen, Stadt";66,41;19439
"Jungingen";9,33;1375
"Rangendingen";21,66;5349
"Meßstetten, Stadt";76,8;11560
"Nusplingen";20,76;1865
"Obernheim";15,01;1487
"Dautmergen";4,54;450
"Dormettingen";6,55;1099
"Dotternhausen";10,01;1830
"Hausen am Tann";8,49;496
"Ratshausen";5,76;764
"Schömberg, Stadt";23,25;4741
"Weilen unter den Rinnen";3,08;598
"Zimmern unter der Burg";5,04;447
"Straßberg";24,91;2480
"Winterlingen";50,63;6336
"Ulm, Universitätsstadt";118,68;128928
"Erbach, Stadt";63,29;13859
"Schelklingen, Stadt";75,87;6959
"Blaustein, Stadt";55,61;16667
"Allmendingen";45,87;4717
"Altheim";7,8;591
"Berghülen";26,13;2076
"Blaubeuren, Stadt";79,11;12665
"Dietenheim, Stadt";18,75;7003
"Illerrieden";18,16;3375
"Balzheim";17,57;2141
"Beimerstetten";14,34;2555
"Dornstadt";59,23;9309
"Westerstetten";13,1;2228
"Ehingen (Donau), Stadt";178,33;27276
"Griesingen";8,15;1054
"Oberdischingen";8,82;2274
"Öpfingen";8,88;2358
"Hüttisheim";10,36;1541
"Schnürpflingen";10,71;1432
"Illerkirchberg";11,45;4989
"Staig";17,75;3289
"Laichingen, Stadt";69,83;12250
"Merklingen";21,31;2085
"Nellingen";35,77;2114
"Westerheim";22,91;3021
"Heroldstatt";22,58;2928
"Altheim (Alb)";25,77;1741
"Asselfingen";12,86;1034
"Ballendorf";14,22;688
"Bernstadt";13,94;2302
"Börslingen";6,28;183
"Breitingen";2,89;368
"Holzkirch";8,14;277
"Langenau, Stadt";75,03;15633
"Neenstetten";8,3;842
"Nerenstetten";6,09;361
"Öllingen";8,09;587
"Rammingen";14,03;1363
"Setzingen";8,42;727
"Weidenstetten";17,21;1408
"Amstetten";49,8;4166
"Lonsee";43,32;5157
"Emeringen";7,52;167
"Emerkingen";7,4;856
"Grundsheim";3,7;214
"Hausen am Bussen";3,52;280
"Lauterach";13,76;621
"Munderkingen, Stadt";13,07;5380
"Obermarchtal";26,59;1315
"Oberstadion";15,78;1635
"Rechtenstein";3,78;308
"Rottenacker";10,29;2238
"Untermarchtal";5,62;878
"Unterstadion";8,83;792
"Unterwachingen";2,6;199
"Schemmerhofen";50,17;8742
"Alleshausen";11,29;551
"Allmannsweiler";4,1;335
"Bad Buchau, Stadt";23,75;4636
"Betzenweiler";9,68;776
"Dürnau";7,28;463
"Kanzach";11,15;495
"Moosburg";1,85;212
"Oggelshausen";13,11;995
"Seekirch";5,76;306
"Tiefenbach";6,94;537
"Bad Schussenried, Stadt";55,01;9118
"Ingoldingen";44,23;3162
"Attenweiler";27,2;1969
"Biberach an der Riß, Stadt";72,15;34008
"Eberhardzell";59,72;4598
"Hochdorf";23,77;2395
"Maselheim";47,02;4686
"Mittelbiberach";23,68;4441
"Ummendorf";20,65;4503
"Warthausen";25,74;5314
"Berkheim";25,02;3145
"Dettingen an der Iller";11,14;2718
"Erolzheim";26,3;3405
"Kirchberg an der Iller";18,64;2196
"Kirchdorf an der Iller";22,85;4006
"Achstetten";23,38;5120
"Burgrieden";21,86;4255
"Laupheim, Stadt";61,79;22863
"Mietingen";26,33;4574
"Erlenmoos";24,26;1830
"Ochsenhausen, Stadt";59,96;9261
"Steinhausen an der Rottum";29,87;2186
"Gutenzell-Hürbel";37,86;1867
"Altheim";23,73;2101
"Dürmentingen";24,12;2685
"Ertingen";37,74;5444
"Langenenslingen";88,33;3618
"Riedlingen, Stadt";64,96;11029
"Unlingen";26,87;2428
"Uttenweiler";49,77;3692
"Rot an der Rot";63,41;4565
"Tannheim";27,69;2520
"Schwendi";49,23;7061
"Wain";20,14;1702
"Meckenbeuren";31,89;13807
"Eriskirch";14,61;4992
"Kressbronn am Bodensee";20,42;8829
"Langenargen";15,27;7810
"Friedrichshafen, Stadt";69,93;62932
"Immenstaad am Bodensee";9,28;6561
"Bermatingen";15,45;4177
"Markdorf, Stadt";40,91;14356
"Oberteuringen";20,08;5021
"Deggenhausertal";62,15;4412
"Daisendorf";2,44;1564
"Hagnau am Bodensee";2,94;1496
"Meersburg, Stadt";12,07;6142
"Stetten";4,3;1045
"Uhldingen-Mühlhofen";15,66;8477
"Frickingen";26,43;3140
"Heiligenberg";40,75;3177
"Salem";62,69;12119
"Neukirch";26,59;2728
"Tettnang, Stadt";71,25;20037
"Owingen";36,73;4603
"Sipplingen";4,27;2189
"Überlingen, Stadt";58,64;23098
"Aulendorf, Stadt";52,33;10338
"Bad Wurzach, Stadt";182,24;15061
"Isny im Allgäu, Stadt";85,39;14835
"Kißlegg";92,45;9290
"Argenbühl";76,42;6836
"Altshausen";20,48;4083
"Boms";9,56;743
"Ebenweiler";10,13;1329
"Eichstegen";14,25;526
"Fleischwangen";5,81;666
"Guggenhausen";8,26;191
"Hoßkirch";15,81;732
"Königseggwald";6,86;709
"Riedhausen";8,41;799
"Unterwaldhausen";4,11;286
"Ebersbach-Musbach";26,84;1735
"Bad Waldsee, Stadt";108,55;20630
"Bergatreute";23,17;3251
"Bodnegg";24,57;3230
"Grünkraut";17,15;3196
"Schlier";32,6;3996
"Waldburg";22,71;3301
"Aichstetten";33,74;2871
"Aitrach";30,2;2866
"Leutkirch im Allgäu, Stadt";174,97;23345
"Baienfurt";16,01;7379
"Baindt";23,07;5428
"Berg";28,42;4623
"Ravensburg, Stadt";92,05;51482
"Weingarten, Stadt";12,16;25257
"Vogt";22,3;4676
"Wolfegg";39,5;3857
"Achberg";12,92;1756
"Amtzell";30,59;4322
"Wangen im Allgäu, Stadt";101,35;27411
"Wilhelmsdorf";38,09;5018
"Horgenzell";56,17;5635
"Wolpertswende";26,35;4209
"Fronreute";46,09;5013
"Ostrach";108,89;7017
"Gammertingen, Stadt";52,97;6318
"Hettingen, Stadt";46,06;1803
"Neufra";28,4;1845
"Veringenstadt, Stadt";31,25;2146
"Hohentengen";36,61;4335
"Mengen, Stadt";49,82;9995
"Scheer, Stadt";18,72;2544
"Leibertingen";47,19;2169
"Meßkirch, Stadt";76,22;8737
"Sauldorf";49,72;2580
"Illmensee";24,92;2070
"Pfullendorf, Stadt";90,5;13616
"Wald";43,85;2771
"Herdwangen-Schönach";36,51;3493
"Herbertingen";38,65;4805
"Bad Saulgau, Stadt";97,34;17702
"Beuron";35,1;687
"Bingen";37,01;2738
"Inzigkofen";28,73;2975
"Krauchenwies";44,65;5087
"Sigmaringen, Stadt";92,84;18375
"Sigmaringendorf";12,47;3735
"Schwenningen";19,34;1681
"Stetten am kalten Markt";56,47;4821
"Ingolstadt";133,35;141029
"München, Landeshauptstadt";310,7;1512491
"Rosenheim";37,22;64403
"Altötting, St";23,07;13104
"Burghausen, St";19,81;19364
"Burgkirchen a.d.Alz";46,19;10953
"Garching a.d.Alz";25,86;8778
"Haiming";28,73;2523
"Neuötting, St";36,6;8997
"Pleiskirchen";52,62;2463
"Teising";5,38;1839
"Töging a.Inn, St";13,65;9465
"Tüßling, M";19,54;3383
"Winhöring";24,59;4837
"Emmerting";14,07;4171
"Mehring";23,38;2417
"Feichten a.d.Alz";17,92;1255
"Halsbach";22,07;1097
"Kirchweidach";20,15;2803
"Tyrlaching";20,55;1071
"Marktl, M";27,84;2856
"Stammham";5,68;1023
"Erlbach";28,13;1174
"Perach";14,13;1326
"Reischach";28,46;2647
"Kastl";27,6;2838
"Unterneukirchen";23,26;3414
"Ainring";32,96;9975
"Anger";45,91;4526
"Bad Reichenhall, GKSt";41,92;18893
"Bayerisch Gmain";12,33;3158
"Berchtesgaden, M";35,63;7623
"Bischofswiesen";62,15;7199
"Freilassing, St";14,81;17816
"Laufen, St";35,28;7431
"Marktschellenberg, M";17,66;1751
"Piding";17,67;5506
"Ramsau b.Berchtesgaden";129,17;1736
"Saaldorf-Surheim";39,1;5577
"Schneizlreuth";107,28;1386
"Schönau a.Königssee";131,62;5668
"Teisendorf, M";86,76;9422
"Bad Heilbrunn";40,32;4008
"Bad Tölz, St";30,8;19186
"Dietramszell";96,82;5757
"Egling";74,06;5402
"Eurasburg";40,87;4283
"Gaißach";38,55;3170
"Geretsried, St";24,6;25623
"Icking";17;3736
"Jachenau";128,66;804
"Königsdorf";45,69;3154
"Lenggries";242,83;10146
"Münsing";52,23;4375
"Wackersberg";64,83;3680
"Wolfratshausen, St";9,13;19335
"Benediktbeuern";37,87;3720
"Bichl";13,92;2298
"Kochel a.See";80,11;4165
"Schlehdorf";25,39;1348
"Greiling";7,66;1473
"Reichersbeuern";15,41;2532
"Sachsenkam";15,92;1316
"Altomünster, M";75,66;8064
"Bergkirchen";59,96;7810
"Dachau, GKSt";34,96;48195
"Erdweg";36,06;6344
"Haimhausen";26,93;5845
"Hebertshausen";29,57;5854
"Karlsfeld";15,61;22069
"Markt Indersdorf, M";68,4;10498
"Odelzhausen";30,44;5604
"Petershausen";32,79;6654
"Pfaffenhofen a.d.Glonn";20,88;2289
"Röhrmoos";31,75;6618
"Schwabhausen";30,23;6516
"Sulzemoos";19,04;3038
"Hilgertshausen-Tandern";28,68;3408
"Vierkirchen";19,38;4614
"Weichs";18,81;3562
"Anzing";16,18;4482
"Ebersberg, St";40,84;12386
"Forstinning";12,27;3992
"Grafing b.München, St";29,58;14285
"Hohenlinden";17,32;3383
"Kirchseeon, M";17,91;10764
"Markt Schwaben, M";10,87;13853
"Vaterstetten";34,08;25530
"Pliening";22,79;5962
"Poing";12,92;16404
"Steinhöring";36,31;4087
"Zorneding";23,79;9369
"Aßling";31,37;4608
"Frauenneuharting";22,69;1586
"Emmering";17,23;1515
"Baiern";19,97;1531
"Bruck";21,59;1336
"Egmating";19,16;2412
"Glonn, M";30,23;5348
"Moosach";18,2;1500
"Oberpframmern";18,47;2497
"Altmannstein, M";114,13;7127
"Beilngries, St";100,02;10195
"Buxheim";22,53;3699
"Denkendorf";47,83;4972
"Dollnstein, M";40,51;2976
"Eichstätt, GKSt";47,79;13714
"Gaimersheim, M";28,21;12352
"Großmehring";47,43;7529
"Hepberg";4,16;2965
"Hitzhofen";33,78;3054
"Kinding, M";51,7;2527
"Kipfenberg, M";81,43;5997
"Kösching, M";55,69;9875
"Lenting";8,48;4930
"Mörnsheim, M";33,45;1608
"Stammham";39,02;4198
"Titting, M";71,11;2693
"Wellheim, M";33,81;2766
"Wettstetten";12,47;5090
"Pollenfeld";45,63;3105
"Schernfeld";52,25;3300
"Walting";39,72;2329
"Böhmfeld";16,26;1739
"Eitensheim";15,71;3040
"Adelschlag";51,95;3078
"Egweil";9,39;1221
"Nassenfels, M";18,4;2321
"Mindelstetten";22,68;1808
"Oberdolling";19,36;1342
"Pförring, M";43,51;4041
"Bockhorn";47,15;4179
"Dorfen, St";99,56;15179
"Erding, GKSt";54,61;36813
"Finsing";23,18;4757
"Forstern";15,38;3698
"Fraunberg";42,36;3935
"Isen, M";43,78;5760
"Lengdorf";33,94;2775
"Moosinning";39,96;6189
"Sankt Wolfgang";46,31;4545
"Taufkirchen (Vils)";70,18;10812
"Buch a.Buchrain";22,74;1615
"Pastetten";22,08;2878
"Walpertskirchen";18,45;2179
"Wörth";21,05;4453
"Eitting";35,63;3065
"Oberding";64,72;6726
"Neuching";19,68;2764
"Ottenhofen";10,27;1957
"Hohenpolding";27,42;1644
"Inning a.Holz";11,84;1558
"Kirchberg";17,1;1137
"Steinkirchen";18,08;1324
"Berglern";19,88;3053
"Langenpreising";27,5;2936
"Wartenberg, M";17,88;5749
"Au i.d.Hallertau, M";54,99;6304
"Eching";37,32;14430
"Rudelzhausen";40,8;3517
"Fahrenzhausen";37,64;5150
"Freising, GKSt";88,59;49339
"Hallbergmoos";35,09;11662
"Hohenkammer";25,74;2713
"Kirchdorf a.d.Amper";32,97;3270
"Kranzberg";39,5;4226
"Langenbach";26,89;4105
"Marzling";20,5;3306
"Moosburg a.d.Isar, St";43,86;19832
"Nandlstadt, M";34,3;5587
"Neufahrn b.Freising";45,54;20590
"Allershausen";26,55;6104
"Paunzhausen";12,74;1604
"Gammelsdorf";21,62;1519
"Hörgertshausen";21,48;2016
"Mauern";24,15;3144
"Wang";31,18;2612
"Attenkirchen";16,1;2768
"Haag a.d.Amper";21,7;3009
"Wolfersdorf";26,06;2575
"Zolling";34,53;5051
"Alling";21,02;4023
"Egenhofen";33,4;3530
"Eichenau";6,99;11867
"Emmering";10,95;7017
"Fürstenfeldbruck, GKSt";32,52;37695
"Germering, GKSt";21,61;41355
"Gröbenzell";6,36;19717
"Maisach";53,45;14199
"Moorenweis";45,45;4214
"Olching, St";29,92;27927
"Puchheim, St";12,24;21420
"Türkenfeld";15,95;3752
"Adelshofen";13,28;1857
"Althegnenberg";16,09;2104
"Hattenhofen";7,18;1577
"Jesenwang";15,3;1668
"Landsberied";10,53;1645
"Mammendorf";21,22;4961
"Mittelstetten";18,62;1736
"Oberschweinbach";7,24;1804
"Grafrath";14,43;4064
"Kottgeisering";8,21;1619
"Schöngeising";12,86;1861
"Bad Kohlgrub";32,55;2869
"Farchant";25,78;3601
"Garmisch-Partenkirchen, M";205,66;27482
"Grainau";49,37;3567
"Krün";36,31;1967
"Mittenwald, M";132,84;7251
"Murnau a.Staffelsee, M";38,06;11969
"Oberammergau";30,06;5392
"Oberau";17,86;3103
"Uffing a.Staffelsee";42,75;3066
"Wallgau";33,96;1539
"Bad Bayersoien";17,65;1303
"Saulgrub";35,48;1692
"Ettal";14,74;776
"Unterammergau";29,93;1589
"Eschenlohe";55,04;1543
"Großweil";22,03;1581
"Ohlstadt";41,17;3411
"Schwaigen";23,57;617
"Riegsee";20,44;1283
"Seehausen a.Staffelsee";15,71;2529
"Spatzenhausen";7,74;710
"Denklingen";56,77;2913
"Dießen am Ammersee, M";82,66;10618
"Egling a.d.Paar";20,77;2431
"Geltendorf";34,82;5939
"Kaufering, M";17,68;10388
"Landsberg am Lech, GKSt";57,9;29551
"Penzing";33,8;3987
"Utting am Ammersee";19,01;4564
"Weil";44,48;4017
"Fuchstal";39,74;4129
"Unterdießen";12,78;1454
"Hurlach";17,17;2037
"Igling";26,35;2587
"Obermeitingen";9,93;1782
"Prittriching";25,37;2647
"Scheuring";21,26;1967
"Hofstetten";17,02;1917
"Schwifting";11,45;1027
"Pürgen";21,99;3673
"Apfeldorf";12,31;1239
"Kinsau";11,45;1037
"Vilgertshofen";27,1;2706
"Reichling";23,26;1704
"Rott";19,75;1734
"Thaining";8,7;1094
"Eching am Ammersee";6,24;1729
"Greifenberg";8,2;2249
"Schondorf am Ammersee";6,59;4070
"Eresing";14,22;2016
"Finning";23,34;1979
"Windach";24,84;3847
"Bad Wiessee";32,78;5198
"Bayrischzell";79,45;1702
"Fischbachau";75,82;5754
"Gmund a.Tegernsee";34,42;6147
"Hausham";22,29;8496
"Holzkirchen, M";48,24;16722
"Irschenberg";53,91;3279
"Kreuth";122,26;3575
"Miesbach, St";32,44;12083
"Otterfing";21,15;4849
"Rottach-Egern";59,12;5807
"Schliersee, M";79,14;6946
"Tegernsee, St";22,74;3693
"Valley";42,18;3387
"Waakirchen";42,32;5923
"Warngau";51,25;3807
"Weyarn";46,7;3978
"Ampfing";31,13;7067
"Aschau a.Inn";20,76;3530
"Buchbach, M";28,79;3350
"Haag i.OB, M";20,37;6530
"Mettenheim";27,22;3522
"Mühldorf a.Inn, St";29,42;21697
"Obertaufkirchen";31,65;2657
"Schwindegg";20,77;3666
"Waldkraiburg, St";21,56;24488
"Heldenstein";19,85;2810
"Rattenkirchen";19,87;1019
"Gars a.Inn, M";43,65;3995
"Unterreit";32,21;1780
"Kirchdorf";21,03;1331
"Reichertsheim";31,36;1695
"Jettenbach";9,18;728
"Kraiburg a.Inn, M";27,55;4066
"Taufkirchen";25,33;1404
"Egglkofen";13,98;1273
"Neumarkt-Sankt Veit, St";61,07;6494
"Lohkirchen";14,94;864
"Oberbergkirchen";27,52;1705
"Schönberg";25,33;1104
"Zangberg";9,83;1158
"Oberneukirchen";19,6;854
"Polling";43,85;3347
"Erharting";13,68;942
"Niederbergkirchen";24,7;1237
"Niedertaufkirchen";26,69;1451
"Maitenbeth";30,94;2071
"Rechtmehring";24,39;2043
"Aschheim";28,05;9413
"Baierbrunn";7,21;3397
"Brunnthal";37,95;5580
"Feldkirchen";6,41;7601
"Garching b.München, St";28,17;17526
"Gräfelfing";9,58;13769
"Grasbrunn";26,39;6749
"Grünwald";7,63;11382
"Haar";12,9;22555
"Höhenkirchen-Siegertsbrunn";23,77;11422
"Hohenbrunn";18,58;8871
"Ismaning";40,19;18062
"Kirchheim b.München";15,5;12714
"Neuried";9,62;8967
"Oberhaching";33,06;13909
"Oberschleißheim";30,32;11998
"Ottobrunn";5,23;22430
"Aying";56,56;5563
"Planegg";10,68;11063
"Pullach i.Isartal";7,4;9026
"Putzbrunn";11,17;6812
"Sauerlach";56,95;8255
"Schäftlarn";16,72;6007
"Straßlach-Dingharting";28,34;3289
"Taufkirchen";22;18185
"Neubiberg";5,77;14449
"Unterföhring";12,79;11500
"Unterhaching";10,37;25873
"Unterschleißheim, St";14,93;29523
"Aresing";29,9;3000
"Burgheim, M";49,73;4651
"Ehekirchen";62,78;3885
"Karlshuld";29,09;6091
"Karlskron";38,52;5088
"Neuburg a.d.Donau, GKSt";81,29;30467
"Oberhausen";32;3282
"Rennertshofen, M";93,11;4925
"Schrobenhausen, St";75,26;17754
"Königsmoos";40,83;4994
"Weichering";24,59;2474
"Bergheim";28,92;1953
"Rohrenfels";17,53;1633
"Berg im Gau";22,59;1383
"Brunnen";32,14;1801
"Gachenbach";30,25;2617
"Langenmosen";23,88;1663
"Waidhofen";27,32;2296
"Baar-Ebenhausen";14,79;5597
"Gerolsbach";58,98;3790
"Hohenwart, M";52,22;4968
"Jetzendorf";21,74;3202
"Manching, M";35,43;13302
"Münchsmünster";16,22;3183
"Pfaffenhofen a.d.Ilm, St";92,63;26943
"Reichertshausen";23,64;5136
"Rohrbach";29,62;6207
"Scheyern";38,29;4955
"Schweitenkirchen";53;5604
"Vohburg a.d.Donau, St";45,17;8756
"Wolnzach, M";91,5;11835
"Ernsgaden";7,5;1797
"Geisenfeld, St";88,3;11605
"Hettenshausen";18,6;2249
"Ilmmünster";13,89;2221
"Pörnbach";22,63;2252
"Reichertshofen, M";36,89;8480
"Amerang";39,8;3758
"Aschau i.Chiemgau";79,59;5743
"Babensham";54,31;3204
"Bad Aibling, St";41,4;19613
"Bernau a.Chiemsee";26,68;7090
"Brannenburg";33,67;6850
"Bruckmühl, M";50,21;16894
"Edling";20,04;4629
"Eggstätt";24,29;2948
"Eiselfing";34,89;3262
"Bad Endorf, M";40,1;8542
"Bad Feilnbach";57,49;8389
"Feldkirchen-Westerham";53,24;11190
"Flintsbach a.Inn";31,3;3087
"Frasdorf";32,71;3122
"Griesstätt";29,53;2913
"Großkarolinenfeld";29,07;7443
"Schechen";31,53;5268
"Kiefersfelden";36,74;6854
"Kolbermoor, St";19,83;18945
"Neubeuern, M";15,32;4327
"Nußdorf a.Inn";28,56;2646
"Oberaudorf";59,29;5324
"Prien a.Chiemsee, M";20,7;11243
"Prutting";16,22;2946
"Raubling";44,27;11651
"Riedering";37,95;5565
"Rimsting";20;4077
"Rohrdorf";28,65;5965
"Samerberg";33,4;2882
"Söchtenau";25,62;2760
"Soyen";28,96;3039
"Stephanskirchen";26,51;10817
"Tuntenhausen";68,99;7454
"Vogtareuth";34,24;3232
"Wasserburg a.Inn, St";18,8;13004
"Breitbrunn a.Chiemsee";8,12;1602
"Chiemsee";2,57;228
"Gstadt a.Chiemsee";10,7;1238
"Halfing";22,79;2824
"Höslwang";16,17;1294
"Schonstett";13,6;1444
"Ramerberg";8,09;1422
"Rott a.Inn";19,57;4200
"Pfaffing";35,39;4242
"Albaching";18,16;1775
"Berg";36,63;8419
"Andechs";40,43;3866
"Feldafing";9,15;4343
"Gauting";55,5;21276
"Gilching";31,5;19247
"Herrsching a.Ammersee";20,88;11088
"Inning a.Ammersee";24,42;4850
"Krailling";15,99;7902
"Seefeld";34,85;7694
"Pöcking";20,96;5641
"Starnberg, St";61,85;23741
"Tutzing";35,65;10106
"Weßling";22,6;5543
"Wörthsee";20,42;5069
"Altenmarkt a.d.Alz";26,1;4193
"Chieming";37,73;5074
"Engelsberg";34,18;2573
"Fridolfing";44,22;4489
"Grabenstätt";37,81;4489
"Grassau, M";35,78;7228
"Inzell";45,35;4911
"Kirchanschöring";25,23;3375
"Nußdorf";16,12;2452
"Palling";53,84;3559
"Petting";29,92;2384
"Reit im Winkl";70,98;2399
"Ruhpolding";147,83;7153
"Schleching";45,17;1885
"Schnaitsee";61,14;3808
"Seeon-Seebruck";47,93;4575
"Siegsdorf";57;8543
"Surberg";23,71;3382
"Tacherting";50,24;5775
"Tittmoning, St";72,01;5868
"Traunreut, St";45,06;21102
"Traunstein, GKSt";48,57;21251
"Trostberg, St";51,55;11444
"Übersee";30,53;5165
"Unterwössen";41,28;3664
"Bergen";36,9;5034
"Vachendorf";9,96;1834
"Marquartstein";13,4;3370
"Staudach-Egerndach";19,34;1187
"Kienberg";22,83;1382
"Obing";43,75;4475
"Pittenhart";27,91;1889
"Taching a.See";26,75;2113
"Waging a.See, M";48,86;7130
"Wonneberg";18,01;1624
"Bernried am Starnberger See";13,8;2466
"Hohenpeißenberg";20,54;3872
"Pähl";32,22;2532
"Peißenberg, M";32,69;12781
"Peiting, M";75,11;11682
"Penzberg, St";25,73;16729
"Polling";29,2;3642
"Raisting";21,98;2347
"Schongau, St";21,34;12648
"Weilheim i.OB, St";55,5;23056
"Wessobrunn";51,1;2235
"Wielenbach";33,02;3380
"Altenstadt";18,66;3319
"Hohenfurch";12,39;1707
"Ingenried";17,44;1100
"Schwabbruck";7,32;986
"Schwabsoien";16,98;1441
"Bernbeuren";41,65;2485
"Burggen";24,95;1742
"Antdorf";22,38;1360
"Habach";12,15;1176
"Obersöchering";24,27;1577
"Sindelsdorf";17,5;1211
"Eberfing";25,93;1508
"Eglfing";16,16;1148
"Huglfing";24,36;2898
"Oberhausen";14,91;2167
"Böbing";40,31;1896
"Rottenbuch";31,48;1842
"Iffeldorf";27,59;2755
"Seeshaupt";29,97;3295
"Prem";15,93;949
"Steingaden";64,04;2917
"Wildsteig";47,67;1359
"Landshut";65,83;75457
"Passau";69,56;53907
"Straubing";67,59;49164
"Aholming";29,35;2363
"Auerbach";24,07;2141
"Bernried";39,48;4761
"Deggendorf, GKSt";77,14;35172
"Grafling";46,32;2748
"Hengersberg, M";45,81;8070
"Iggensbach";19,08;2216
"Künzing";40,36;3197
"Metten, M";11,95;4216
"Niederalteich";9,97;1790
"Offenberg";23,76;3396
"Osterhofen, St";111,16;12171
"Plattling, St";35,9;13121
"Stephansposching";44,64;3177
"Winzer, M";27,62;3805
"Grattersdorf";25,98;1313
"Hunding";14,67;1128
"Lalling";27,92;1631
"Schaufling";25,39;1525
"Oberpöring";17,39;1212
"Otzing";30,43;1961
"Wallerfing";20,76;1274
"Buchhofen";15,74;937
"Moos";32,25;2348
"Außernzell";24,11;1520
"Schöllnach, M";39,9;4928
"Freyung, St";48,63;7261
"Grafenau, St";63,73;8200
"Grainet";36,11;2501
"Haidmühle";21,03;1373
"Hohenau";43,1;3308
"Jandelsbrunn";42,38;3334
"Mauth";28,88;2237
"Neureichenau";46,37;4436
"Ringelai";16,37;1911
"Röhrnbach, M";40,62;4325
"Saldenburg";28,04;2007
