"Gemeinde";"Flaeche";"Bevoelkerung"
"Windeby";14,77;998
"Winnemark";9,58;538
"Arpsdorf";12,1;300
"Aukrug";49,9;3953
"Beldorf";11,96;279
"Bendorf";20,47;430
"Beringstedt";14,29;743
"Bornholt";10,93;176
"Ehndorf";14,68;601
"Gokels";10,64;580
"Grauel";5,74;273
"Hanerau-Hademarschen";14,5;3048
"Heinkenborstel";7,55;145
"Hohenwestedt";18,18;5396
"Jahrsdorf";8,87;230
"Lütjenwestedt";22,32;543
"Meezen";8,76;347
"Mörel";8,69;250
"Nienborstel";16,48;582
"Nindorf";14,03;648
"Oldenbüttel";7,97;270
"Osterstedt";10,95;688
"Padenstedt";14,6;1799
"Rade b. Hohenwestedt";3,21;99
"Remmels";9,49;442
"Seefeld";6,77;346
"Steenfeld";11,61;338
"Tackesdorf";7,65;65
"Tappendorf";6,69;333
"Thaden";11,98;239
"Todenbüttel";11,78;1014
"Wapelfeld";8,11;328
"Kappeln, Stadt";43,33;8607
"Schleswig, Stadt";24,3;25832
"Glücksburg (Ostsee), Stadt";39,68;6377
"Harrislee";18,92;11910
"Handewitt";77,72;11345
"Eggebek";16,68;2580
"Janneby";14,49;419
"Jerrishoe";16;1028
"Jörl";19,69;801
"Langstedt";13,17;1054
"Sollerup";12,98;479
"Süderhackstedt";10,15;347
"Wanderup";28,64;2668
"Borgwedel";9,95;775
"Busdorf";5,35;2056
"Dannewerk";16,66;1129
"Fahrdorf";12;2629
"Geltorf";8,08;367
"Jagel";11,89;974
"Lottorf";5,78;234
"Selk";10,07;862
"Tastrup";4,16;385
"Ausacker";9,13;524
"Großsolt";25,07;1802
"Hürup";16,2;1294
"Husby";19,31;2434
"Maasbüll";7,71;716
"Freienwill";15,3;1642
"Arnis, Stadt";0,45;273
"Grödersby";6,65;225
"Oersberg";7,09;306
"Rabenkirchen-Faulück";14,21;659
"Dollerup";13,08;1033
"Grundhof";11,57;907
"Langballig";15,41;1614
"Munkbrarup";13,27;1160
"Ringsberg";5,25;544
"Wees";12,74;2411
"Westerholz";14,71;764
"Sieverstedt";31,01;1674
"Tarp";16,36;6088
"Oeversee";36,27;3595
"Schnarup-Thumby";10,73;544
"Sörup";44,32;4306
"Mittelangeln";44,96;5401
"Böxlund";4,4;126
"Großenwiehe";30,2;3289
"Hörup";18,15;620
"Holt";13,42;150
"Jardelund";16,63;311
"Medelby";9,75;1065
"Meyn";12,4;793
"Nordhackstedt";12,47;494
"Osterby";12,35;311
"Schafflund";19,09;2862
"Wallsbüll";13,23;966
"Weesby";21,44;458
"Lindewitt";53,28;2020
"Böel";13,66;710
"Loit";6,69;264
"Mohrkirch";14,42;1011
"Norderbrarup";3,98;661
"Nottfeld";3,18;116
"Rügge";6,01;244
"Saustrup";8,14;189
"Scheggerott";6,32;352
"Steinfeld";8,73;838
"Süderbrarup";20,06;5339
"Ulsnis";19,81;709
"Wagersrott";5,63;231
"Boren";30,15;1196
"Böklund";7,88;1697
"Havetoft";14,53;889
"Idstedt";13,35;876
"Klappholz";8,22;478
"Neuberend";4,42;1154
"Schaalby";25;1582
"Stolk";14,54;840
"Struxdorf";13,4;682
"Süderfahrenstedt";9,15;460
"Taarstedt";13,69;909
"Tolk";10,44;1034
"Uelsby";10,59;412
"Twedt";12,52;491
"Nübel";18,34;1277
"Brodersby-Goltoft";13,45;691
"Ahneby";3,8;203
"Esgrus";18,07;774
"Gelting";20,02;2152
"Hasselberg";11,31;886
"Kronsgaard";5,92;247
"Maasholm";8,42;609
"Nieby";8,07;131
"Niesgrau";9,89;523
"Pommerby";5,55;152
"Rabel";8,84;631
"Rabenholz";5,8;281
"Stangheck";10;230
"Steinberg";16,29;820
"Sterup";17,15;1390
"Stoltebüll";16,4;667
